TransactionID,ProductID,CustomerID,StoreID,Date,Quantity,TotalAmount
1,141,1058,43,2024-01-01 00:00:00,2,23.87
2,105,1126,15,2024-01-01 01:00:00,2,40.82
3,116,1159,5,2024-01-01 02:00:00,1,22.94
4,102,1034,37,2024-01-01 03:00:00,1,40.97
5,143,1229,8,2024-01-01 04:00:00,5,57.66
6,124,1060,6,2024-01-01 05:00:00,5,97.86
7,114,1080,32,2024-01-01 06:00:00,3,89.75
8,104,1474,7,2024-01-01 07:00:00,3,41.91
9,123,1279,39,2024-01-01 08:00:00,4,10.75
10,103,1485,38,2024-01-01 09:00:00,2,23.76
11,137,1450,48,2024-01-01 10:00:00,1,90.48
12,108,1185,45,2024-01-01 11:00:00,5,65.98
13,118,1249,42,2024-01-01 12:00:00,4,98.45
14,125,1431,22,2024-01-01 13:00:00,2,47.8
15,104,1356,6,2024-01-01 14:00:00,1,35.66
16,129,1343,1,2024-01-01 15:00:00,2,46.43
17,123,1493,50,2024-01-01 16:00:00,5,17.83
18,126,1273,18,2024-01-01 17:00:00,2,36.67
19,105,1449,34,2024-01-01 18:00:00,4,89.91
20,122,1229,7,2024-01-01 19:00:00,4,65.6
21,105,1101,39,2024-01-01 20:00:00,1,80.09
22,133,1163,28,2024-01-01 21:00:00,5,54.41
23,142,1376,47,2024-01-01 22:00:00,4,41.25
24,117,1442,16,2024-01-01 23:00:00,1,74.42
25,109,1287,2,2024-01-02 00:00:00,2,48.73
26,119,1305,10,2024-01-02 01:00:00,1,30.54
27,123,1153,41,2024-01-02 02:00:00,4,82.88
28,104,1196,13,2024-01-02 03:00:00,3,55.85
29,121,1255,11,2024-01-02 04:00:00,2,42.89
30,118,1005,38,2024-01-02 05:00:00,1,54.99
31,122,1283,4,2024-01-02 06:00:00,3,87.99
32,124,1293,42,2024-01-02 07:00:00,4,70.85
33,120,1239,28,2024-01-02 08:00:00,4,44.9
34,140,1300,2,2024-01-02 09:00:00,5,47.92
35,142,1086,20,2024-01-02 10:00:00,1,16.33
36,148,1450,38,2024-01-02 11:00:00,2,33.45
37,136,1135,22,2024-01-02 12:00:00,2,32.01
38,149,1345,48,2024-01-02 13:00:00,1,36.95
39,103,1161,17,2024-01-02 14:00:00,4,36.18
40,149,1087,5,2024-01-02 15:00:00,3,42.17
41,124,1178,8,2024-01-02 16:00:00,3,54.41
42,124,1186,37,2024-01-02 17:00:00,2,73.81
43,113,1364,47,2024-01-02 18:00:00,1,10.39
44,143,1120,50,2024-01-02 19:00:00,5,58.5
45,144,1412,49,2024-01-02 20:00:00,5,76.47
46,148,1049,20,2024-01-02 21:00:00,3,78.09
47,144,1054,14,2024-01-02 22:00:00,2,29.67
48,147,1325,41,2024-01-02 23:00:00,4,32.53
49,127,1382,31,2024-01-03 00:00:00,5,79.07
50,129,1377,36,2024-01-03 01:00:00,5,12.84
51,125,1236,34,2024-01-03 02:00:00,1,77.06
52,113,1382,34,2024-01-03 03:00:00,5,74.64
53,122,1016,42,2024-01-03 04:00:00,5,76.0
54,102,1291,4,2024-01-03 05:00:00,3,74.73
55,143,1122,46,2024-01-03 06:00:00,5,16.46
56,121,1429,19,2024-01-03 07:00:00,1,56.45
57,119,1311,15,2024-01-03 08:00:00,3,69.35
58,141,1145,3,2024-01-03 09:00:00,1,22.39
59,130,1068,12,2024-01-03 10:00:00,1,93.19
60,105,1126,26,2024-01-03 11:00:00,5,17.22
